{ year:2010, hour: 0, Pos: 35, Neg: 33, Neut: 30, tPos: 1242, TNeg: 1161, TNeut: 1077 } 
{ year:2010, hour: 1, Pos: 38, Neg: 32, Neut: 29, tPos: 1551, TNeg: 1304, TNeut: 1214 } 
{ year:2010, hour: 2, Pos: 41, Neg: 29, Neut: 28, tPos: 972, TNeg: 694, TNeut: 678 } 
{ year:2010, hour: 3, Pos: 39, Neg: 31, Neut: 29, tPos: 1006, TNeg: 798, TNeut: 758 } 
{ year:2010, hour: 4, Pos: 39, Neg: 31, Neut: 29, tPos: 930, TNeg: 736, TNeut: 703 } 
{ year:2010, hour: 5, Pos: 35, Neg: 32, Neut: 31, tPos: 861, TNeg: 782, TNeut: 767 } 
{ year:2010, hour: 6, Pos: 34, Neg: 33, Neut: 31, tPos: 821, TNeg: 799, TNeut: 761 } 
{ year:2010, hour: 7, Pos: 34, Neg: 35, Neut: 30, tPos: 736, TNeg: 774, TNeut: 651 } 
{ year:2010, hour: 8, Pos: 36, Neg: 32, Neut: 30, tPos: 358, TNeg: 323, TNeut: 304 } 
{ year:2010, hour: 9, Pos: 0, Neg: 0, Neut: 0, tPos: 0, TNeg: 0, TNeut: 0 } 
{ year:2010, hour: 10, Pos: 31, Neg: 32, Neut: 35, tPos: 308, TNeg: 318, TNeut: 343 } 
{ year:2010, hour: 11, Pos: 31, Neg: 34, Neut: 33, tPos: 595, TNeg: 643, TNeut: 630 } 
{ year:2010, hour: 12, Pos: 30, Neg: 38, Neut: 31, tPos: 569, TNeg: 713, TNeut: 576 } 
{ year:2010, hour: 13, Pos: 32, Neg: 36, Neut: 30, tPos: 559, TNeg: 628, TNeut: 519 } 
{ year:2010, hour: 14, Pos: 30, Neg: 36, Neut: 32, tPos: 511, TNeg: 598, TNeut: 544 } 
{ year:2010, hour: 15, Pos: 32, Neg: 35, Neut: 32, tPos: 416, TNeg: 459, TNeut: 413 } 
{ year:2010, hour: 16, Pos: 29, Neg: 38, Neut: 31, tPos: 283, TNeg: 370, TNeut: 300 } 
{ year:2010, hour: 17, Pos: 37, Neg: 32, Neut: 29, tPos: 185, TNeg: 162, TNeut: 148 } 
{ year:2010, hour: 18, Pos: 32, Neg: 35, Neut: 32, tPos: 76, TNeg: 83, TNeut: 78 } 
{ year:2010, hour: 19, Pos: 29, Neg: 36, Neut: 34, tPos: 47, TNeg: 59, TNeut: 55 } 
{ year:2010, hour: 20, Pos: 36, Neg: 35, Neut: 27, tPos: 52, TNeg: 50, TNeut: 39 } 
{ year:2010, hour: 21, Pos: 25, Neg: 50, Neut: 23, tPos: 28, TNeg: 56, TNeut: 26 } 
{ year:2010, hour: 22, Pos: 32, Neg: 35, Neut: 33, tPos: 64, TNeg: 70, TNeut: 66 } 
{ year:2010, hour: 23, Pos: 39, Neg: 31, Neut: 29, tPos: 191, TNeg: 150, TNeut: 140 } 
{ year:2011, hour: 0, Pos: 34, Neg: 35, Neut: 30, tPos: 3433, TNeg: 3554, TNeut: 3010 } 
{ year:2011, hour: 1, Pos: 34, Neg: 34, Neut: 31, tPos: 3877, TNeg: 3834, TNeut: 3508 } 
{ year:2011, hour: 2, Pos: 38, Neg: 31, Neut: 30, tPos: 2230, TNeg: 1857, TNeut: 1755 } 
{ year:2011, hour: 3, Pos: 36, Neg: 32, Neut: 30, tPos: 2310, TNeg: 2062, TNeut: 1947 } 
{ year:2011, hour: 4, Pos: 35, Neg: 33, Neut: 31, tPos: 2230, TNeg: 2114, TNeut: 2014 } 
{ year:2011, hour: 5, Pos: 35, Neg: 34, Neut: 30, tPos: 2078, TNeg: 2016, TNeut: 1797 } 
{ year:2011, hour: 6, Pos: 34, Neg: 34, Neut: 30, tPos: 2078, TNeg: 2083, TNeut: 1809 } 
{ year:2011, hour: 7, Pos: 32, Neg: 36, Neut: 30, tPos: 2004, TNeg: 2240, TNeut: 1857 } 
{ year:2011, hour: 8, Pos: 32, Neg: 35, Neut: 32, tPos: 912, TNeg: 1004, TNeut: 924 } 
{ year:2011, hour: 9, Pos: 0, Neg: 0, Neut: 0, tPos: 0, TNeg: 0, TNeut: 0 } 
{ year:2011, hour: 10, Pos: 33, Neg: 37, Neut: 29, tPos: 889, TNeg: 974, TNeut: 768 } 
{ year:2011, hour: 11, Pos: 32, Neg: 35, Neut: 31, tPos: 1576, TNeg: 1698, TNeut: 1524 } 
{ year:2011, hour: 12, Pos: 32, Neg: 36, Neut: 30, tPos: 1742, TNeg: 1934, TNeut: 1639 } 
{ year:2011, hour: 13, Pos: 32, Neg: 36, Neut: 30, tPos: 1826, TNeg: 2044, TNeut: 1665 } 
{ year:2011, hour: 14, Pos: 31, Neg: 37, Neut: 30, tPos: 1643, TNeg: 1946, TNeut: 1608 } 
{ year:2011, hour: 15, Pos: 30, Neg: 39, Neut: 29, tPos: 1226, TNeg: 1570, TNeut: 1189 } 
{ year:2011, hour: 16, Pos: 34, Neg: 35, Neut: 30, tPos: 835, TNeg: 863, TNeut: 731 } 
{ year:2011, hour: 17, Pos: 35, Neg: 33, Neut: 31, tPos: 543, TNeg: 510, TNeut: 475 } 
{ year:2011, hour: 18, Pos: 30, Neg: 38, Neut: 31, tPos: 245, TNeg: 312, TNeut: 259 } 
{ year:2011, hour: 19, Pos: 27, Neg: 42, Neut: 29, tPos: 137, TNeg: 212, TNeut: 147 } 
{ year:2011, hour: 20, Pos: 31, Neg: 37, Neut: 31, tPos: 123, TNeg: 145, TNeut: 121 } 
